iter,time,est_name,n_fe,dgp_name,n_obs,language
1,3.03296494483948,GLFixedEffectModels Poisson,3,difficult,100000,julia
2,3.18652892112732,GLFixedEffectModels Poisson,3,difficult,100000,julia
3,2.53492879867554,GLFixedEffectModels Poisson,3,difficult,100000,julia
1,,fixest::fepois,2,difficult,100000,r
2,,fixest::fepois,2,difficult,100000,r
3,,fixest::fepois,2,difficult,100000,r
1,,fixest::fepois,3,difficult,100000,r
2,,fixest::fepois,3,difficult,100000,r
3,,fixest::fepois,3,difficult,100000,r
1,0.143916208005976,pyfixest.fepois (numba),2,difficult,100000,python
2,0.135714250034653,pyfixest.fepois (numba),2,difficult,100000,python
3,0.137769624998327,pyfixest.fepois (numba),2,difficult,100000,python
1,40.9058596250252,pyfixest.fepois (numba),3,difficult,100000,python
2,,pyfixest.fepois (numba),3,difficult,100000,python
3,,pyfixest.fepois (numba),3,difficult,100000,python
1,0.15190724999411,pyfixest.fepois (rust),2,difficult,100000,python
2,0.142765333002899,pyfixest.fepois (rust),2,difficult,100000,python
3,0.146831874968484,pyfixest.fepois (rust),2,difficult,100000,python
1,41.1487697910052,pyfixest.fepois (rust),3,difficult,100000,python
2,,pyfixest.fepois (rust),3,difficult,100000,python
3,,pyfixest.fepois (rust),3,difficult,100000,python
1,0.248032808303833,GLFixedEffectModels Poisson,2,simple,100000,julia
2,0.24210786819458,GLFixedEffectModels Poisson,2,simple,100000,julia
3,0.172769069671631,GLFixedEffectModels Poisson,2,simple,100000,julia
1,0.581631898880005,GLFixedEffectModels Poisson,3,simple,100000,julia
2,0.600843906402588,GLFixedEffectModels Poisson,3,simple,100000,julia
3,0.548159122467041,GLFixedEffectModels Poisson,3,simple,100000,julia
1,,fixest::fepois,2,simple,100000,r
2,,fixest::fepois,2,simple,100000,r
3,,fixest::fepois,2,simple,100000,r
1,,fixest::fepois,3,simple,100000,r
2,,fixest::fepois,3,simple,100000,r
3,,fixest::fepois,3,simple,100000,r
1,0.148102083010599,pyfixest.fepois (numba),2,simple,100000,python
