iter,time,est_name,n_fe,dgp_name,n_obs,language
2,0.00174498558044434,FixedEffectModels.reg,2,difficult,10000,julia
3,0.00299191474914551,FixedEffectModels.reg,2,difficult,10000,julia
1,0.0146100521087646,FixedEffectModels.reg,3,difficult,10000,julia
2,0.0145649909973145,FixedEffectModels.reg,3,difficult,10000,julia
3,0.0169169902801514,FixedEffectModels.reg,3,difficult,10000,julia
1,0.00482702255249023,fixest::feols,2,difficult,10000,r
2,0.00574183464050293,fixest::feols,2,difficult,10000,r
3,0.00595998764038086,fixest::feols,2,difficult,10000,r
1,0.0100312232971191,fixest::feols,3,difficult,10000,r
2,0.0107438564300537,fixest::feols,3,difficult,10000,r
3,0.010822057723999,fixest::feols,3,difficult,10000,r
1,0.0715041160583496,lfe::felm,2,difficult,10000,r
2,0.0668518543243408,lfe::felm,2,difficult,10000,r
3,0.0665631294250488,lfe::felm,2,difficult,10000,r
1,0.0661261081695557,lfe::felm,3,difficult,10000,r
2,0.0672650337219238,lfe::felm,3,difficult,10000,r
3,0.0674190521240234,lfe::felm,3,difficult,10000,r
1,0.0253192499985744,linearmodels.AbsorbingLS,2,difficult,10000,python
2,0.0232623749980121,linearmodels.AbsorbingLS,2,difficult,10000,python
3,0.0175768750013958,linearmodels.AbsorbingLS,2,difficult,10000,python
1,0.068683500001498,linearmodels.AbsorbingLS,3,difficult,10000,python
2,0.0596343750003143,linearmodels.AbsorbingLS,3,difficult,10000,python
3,0.0532773339982668,linearmodels.AbsorbingLS,3,difficult,10000,python
1,0.0235586250018969,pyfixest.feols (numba),2,difficult,10000,python
2,0.00639233300171327,pyfixest.feols (numba),2,difficult,10000,python
3,0.00508499999705236,pyfixest.feols (numba),2,difficult,10000,python
1,2.69891066699711,pyfixest.feols (numba),3,difficult,10000,python
2,2.65432287500153,pyfixest.feols (numba),3,difficult,10000,python
3,2.53641537500153,pyfixest.feols (numba),3,difficult,10000,python
1,0.0108924169981037,pyfixest.feols (rust),2,difficult,10000,python
2,0.0113449159980519,pyfixest.feols (rust),2,difficult,10000,python
3,0.0082088749986724,pyfixest.feols (rust),2,difficult,10000,python
1,0.889727125002537,pyfixest.feols (rust),3,difficult,10000,python
2,0.884824583001318,pyfixest.feols (rust),3,difficult,10000,python
3,0.853423374999693,pyfixest.feols (rust),3,difficult,10000,python
1,1.69283325000288,statsmodels.OLS,2,difficult,10000,python
2,1.57425912500185,statsmodels.OLS,2,difficult,10000,python
3,1.58589170799678,statsmodels.OLS,2,difficult,10000,python
1,1.77650024999821,statsmodels.OLS,3,difficult,10000,python
2,1.75608562499838,statsmodels.OLS,3,difficult,10000,python
3,2.13528837499689,statsmodels.OLS,3,difficult,10000,python
1,0.00441718101501465,FixedEffectModels.reg,2,simple,10000,julia
2,0.00426101684570313,FixedEffectModels.reg,2,simple,10000,julia
3,0.00297093391418457,FixedEffectModels.reg,2,simple,10000,julia
1,0.0089411735534668,FixedEffectModels.reg,3,simple,10000,julia
2,0.0122048854827881,FixedEffectModels.reg,3,simple,10000,julia
3,0.0161960124969482,FixedEffectModels.reg,3,simple,10000,julia
1,0.0046989917755127,fixest::feols,2,simple,10000,r
2,0.00608706474304199,fixest::feols,2,simple,10000,r
3,0.00695204734802246,fixest::feols,2,simple,10000,r
1,0.00693583488464355,fixest::feols,3,simple,10000,r
2,0.0117511749267578,fixest::feols,3,simple,10000,r
3,0.00891900062561035,fixest::feols,3,simple,10000,r
1,0.0657918453216553,lfe::felm,2,simple,10000,r
2,0.0673129558563232,lfe::felm,2,simple,10000,r
3,0.0676050186157227,lfe::felm,2,simple,10000,r
1,0.067418098449707,lfe::felm,3,simple,10000,r
2,0.0684270858764648,lfe::felm,3,simple,10000,r
3,0.0684239864349365,lfe::felm,3,simple,10000,r
1,0.0137941249995492,linearmodels.AbsorbingLS,2,simple,10000,python
2,0.0136839999977383,linearmodels.AbsorbingLS,2,simple,10000,python
3,0.0140573339995171,linearmodels.AbsorbingLS,2,simple,10000,python
